full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Bryan Alonso González Olivan,19,1049932800,2003/04/10,Liga MX,2021/2022,Midfielder,Pachuca,818,471,347,Mexico,20,11,9,2,0,2,1,1,0,0,0,7,6,1,9,4,5,1,0,0.33,0.11,0.22,0,0.52,409,0.99,91,41,818,818,0.11,81,106,-1,10
Bryan Andrés Carvallo Utreras,25,842745600,1996/09/15,Liga MX,2021/2022,Midfielder,Necaxa,0,0,0,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bryan Colula Alarcón,26,828748800,1996/04/06,Liga MX,2021/2022,Defender,Mazatlán,1778,763,1015,Mexico,30,14,16,2,1,1,0,0,0,0,0,7,4,3,27,8,19,5,0,0.1,0,0.1,0.12,0.09,889,1.37,66,59,356,0,0.25,157,378,124,10
Bryan Eduardo Garnica Cortéz,25,833155200,1996/05/27,Liga MX,2021/2022,Forward,Atlas,93,63,30,Mexico,9,7,2,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0.97,93,10,0,0,0,-1,-1,-1,20
Bryan Olivera Calvo,28,763344000,1994/03/11,Liga MX,2021/2022,Midfielder,Querétaro,999,455,544,Uruguay,15,7,8,1,1,0,1,1,0,0,1,5,4,1,13,4,9,5,1,0.18,0.09,0.09,0.2,0,999,1.17,77,67,167,999,0.54,168,139,-1,13
Bryan Romero,19,1043366400,2003/01/24,Liga MX,2021/2022,Midfielder,León,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bryan Roque,17,1098316800,2004/10/21,Liga MX,2021/2022,Forward,Necaxa,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Camilo Andrés Vargas Gil,33,605404800,1989/03/09,Liga MX,2021/2022,Goalkeeper,Atlas,3960,1980,1980,Colombia,44,22,22,0,0,0,0,0,0,0,0,18,9,9,34,14,20,2,0,0,0,0,0,0,0,0.77,116,90,1980,0,0.05,409,404,19,17
Camilo Da Silva Sanvezzo,33,585446400,1988/07/21,Liga MX,2021/2022,Forward,Toluca,2051,1202,849,Brazil,30,17,13,11,7,4,2,2,0,3,1,4,1,3,36,20,16,3,1,0.57,0.09,0.48,0.52,0.42,186,1.58,57,68,513,1026,0.18,10,140,-1,1
Cándido Saúl Ramírez Montes,28,739238400,1993/06/05,Liga MX,2021/2022,Midfielder,Juárez,307,139,168,Mexico,9,4,5,0,0,0,0,0,0,0,0,3,1,2,1,0,1,1,0,0,0,0,0,0,0,0.29,307,34,307,0,0.29,250,227,-1,20
Carlos Acevedo López,26,829872000,1996/04/19,Liga MX,2021/2022,Goalkeeper,Santos Laguna,2610,1260,1350,Mexico,29,14,15,0,0,0,0,0,0,0,0,7,4,3,31,15,16,1,0,0,0,0,0,0,0,1.07,84,90,2610,0,0.03,347,342,75,25
Carlos Agustín Moreno,24,886032000,1998/01/29,Liga MX,2021/2022,Goalkeeper,Pachuca,180,90,90,Mexico,2,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,20
Carlos Alberto Guzmán Fonseca,27,769305600,1994/05/19,Liga MX,2021/2022,Defender,Toluca,706,342,364,Mexico,11,6,5,0,0,0,1,1,0,0,0,2,0,2,11,8,3,0,0,0.13,0.13,0,0,0,0,1.4,64,64,0,706,0,246,90,128,18
Carlos Alberto Rodríguez Gómez,25,852249600,1997/01/03,Liga MX,2021/2022,Forward,Cruz Azul,2188,969,1219,Mexico,29,13,16,4,2,2,4,1,3,0,0,8,6,2,22,6,16,6,0,0.33,0.16,0.16,0.19,0.15,547,0.9,99,75,365,547,0.25,110,62,-1,5
Carlos Alberto Zamora Castellanos,26,821577600,1996/01/14,Liga MX,2021/2022,Defender,Querétaro,21,21,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,-1,-1,-1,20
Carlos Alonso Vargas Tenorio,23,918950400,1999/02/14,Liga MX,2021/2022,Defender,Mazatlán,1970,956,1014,Mexico,28,14,14,0,0,0,1,0,1,0,0,5,2,3,26,10,16,1,0,0.05,0.05,0,0,0,0,1.19,76,70,1970,1970,0.05,383,182,98,26
Carlos Eduardo Fierro Guerrero,27,775008000,1994/07/24,Liga MX,2021/2022,Forward,Juárez,91,59,32,Mexico,3,1,2,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0.99,0.99,0,0,0,0,1.98,46,30,0,91,0,-1,-1,-1,14
Carlos Eduardo Rodas Ozuna,20,998438400,2001/08/22,Liga MX,2021/2022,Goalkeeper,Pachuca,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Carlos Emilio Orrantía Treviño,31,665366400,1991/02/01,Liga MX,2021/2022,Defender,Santos Laguna,2218,1225,993,Mexico,29,14,15,0,0,0,1,0,1,0,0,6,5,1,27,12,15,1,0,0.04,0.04,0,0,0,0,1.1,82,76,2218,2218,0.04,348,197,83,28
Carlos Ernesto Cisneros Barajas,28,746668800,1993/08/30,Liga MX,2021/2022,Forward,Guadalajara,1741,969,772,Mexico,32,16,16,0,0,0,3,2,1,0,0,12,4,8,16,12,4,8,1,0.16,0.16,0,0,0,0,0.83,109,54,193,580,0.47,392,55,-1,26
Carlos Felipe Rodríguez Rangel,33,607564800,1989/04/03,Liga MX,2021/2022,Goalkeeper,Juárez,431,180,251,Mexico,6,2,4,0,0,0,0,0,0,0,0,1,0,1,7,4,3,0,0,0,0,0,0,0,0,1.46,62,72,0,0,0,340,350,132,29
Carlos Gonzalez Espínola,29,728784000,1993/02/04,Liga MX,2021/2022,Forward,Tigres UANL,1622,788,834,Paraguay,39,19,20,7,3,4,3,2,1,0,0,14,9,5,10,4,6,1,0,0.55,0.17,0.39,0.34,0.43,232,0.55,162,42,1622,541,0.06,27,50,-1,4
Carlos Gutiérrez Estefa,23,918172800,1999/02/05,Liga MX,2021/2022,Midfielder,Pumas UNAM,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Carlos Iván Rosel Bermont,26,809827200,1995/08/31,Liga MX,2021/2022,Midfielder,Juárez,422,241,181,Mexico,13,8,5,0,0,0,0,0,0,0,0,0,0,0,10,6,4,1,0,0,0,0,0,0,0,2.13,42,32,422,0,0.21,297,291,-1,34
Carlos Salcedo,28,749260800,1993/09/29,Liga MX,2021/2022,Defender,Tigres UANL,1457,972,485,Mexico,17,11,6,3,2,1,0,0,0,0,0,6,5,1,15,8,7,3,0,0.19,0,0.19,0.19,0.19,486,0.93,97,86,486,0,0.19,92,283,46,8
Carlos Uriel Antuna Romero,24,872121600,1997/08/21,Liga MX,2021/2022,Midfielder,Cruz Azul,2411,1181,1230,Mexico,35,17,18,2,0,2,3,3,0,0,1,15,5,10,14,8,6,6,0,0.19,0.11,0.07,0,0.15,1206,0.52,172,69,402,804,0.22,199,117,-1,9
Celso Fabián Ortiz Gamarra,33,601776000,1989/01/26,Liga MX,2021/2022,Midfielder,Monterrey,2096,1286,810,Paraguay,32,18,14,0,0,0,0,0,0,0,0,12,9,3,19,9,10,4,1,0,0,0,0,0,0,0.82,110,66,419,0,0.21,416,412,-1,28
César Castillo,0,0,1970/01/01,Liga MX,2021/2022,Midfielder,Tijuana,41,35,6,Mexico,4,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2.2,41,10,0,0,0,-1,-1,-1,17
César Jasib Montes Castro,25,856742400,1997/02/24,Liga MX,2021/2022,Defender,Monterrey,2363,1287,1076,Mexico,28,15,13,1,1,0,1,0,1,0,0,11,8,3,24,10,14,9,1,0.08,0.04,0.04,0.07,0,2363,0.91,98,84,263,2363,0.34,227,193,42,11
César Saúl Huerta Valera,21,975801600,2000/12/03,Liga MX,2021/2022,Midfielder,Guadalajara,676,285,391,Mexico,20,8,12,1,1,0,0,0,0,0,0,9,3,6,7,2,5,6,0,0.13,0,0.13,0.32,0,676,0.93,97,34,113,0,0.8,125,353,-1,12
Christian Alejandro Tabó Hornos,28,754012800,1993/11/23,Liga MX,2021/2022,Midfielder,Cruz Azul,2200,1216,984,Uruguay,30,16,14,7,3,4,1,1,0,3,0,10,4,6,20,12,8,7,1,0.33,0.04,0.29,0.22,0.37,314,0.82,110,73,275,2200,0.33,54,195,-1,2
Christian Alvarado Rojas,21,979084800,2001/01/10,Liga MX,2021/2022,Defender,América,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Christian Castillo,18,1059609600,2003/07/31,Liga MX,2021/2022,Midfielder,Tijuana,155,77,78,Mexico,10,4,6,0,0,0,0,0,0,0,0,2,1,1,5,3,2,0,0,0,0,0,0,0,0,2.9,31,16,0,0,0,-1,-1,-1,16
Christian Hernando Rivera Cuéllar,26,821577600,1996/01/14,Liga MX,2021/2022,Midfielder,Tijuana,2618,1278,1340,Colombia,32,16,16,1,1,0,0,0,0,0,0,7,5,2,40,14,26,8,0,0.03,0,0.03,0.07,0,2618,1.38,65,82,327,0,0.28,233,361,-1,9
Christian Jonatan Ortiz,29,714268800,1992/08/20,Liga MX,2021/2022,Midfielder,Tijuana,799,475,324,Argentina,17,9,8,0,0,0,0,0,0,0,0,3,2,1,14,8,6,2,0,0,0,0,0,0,0,1.58,57,47,400,0,0.23,363,364,-1,25
Christopher Brayan Trejo Morantes,22,944092800,1999/12/02,Liga MX,2021/2022,Forward,Atlas,506,284,222,Mexico,33,18,15,2,2,0,0,0,0,0,0,13,7,6,7,6,1,3,0,0.36,0,0.36,0.63,0,253,1.25,72,15,169,0,0.53,35,418,-1,9
Claudio Andrés Baeza Baeza,28,756604800,1993/12/23,Liga MX,2021/2022,Midfielder,Toluca,2836,1453,1383,Chile,33,17,16,0,0,0,2,1,1,0,0,5,1,4,46,25,21,11,1,0.06,0.06,0,0,0,0,1.46,62,86,258,1418,0.35,303,175,-1,29
Claudio Matías Kranevitter,28,737942400,1993/05/21,Liga MX,2021/2022,Midfielder,Monterrey,1798,618,1180,Argentina,33,15,18,1,1,0,0,0,0,0,0,12,9,3,20,1,19,3,0,0.05,0,0.05,0.15,0,1798,1,90,54,599,0,0.15,212,411,-1,13
Clifford Aboagye,27,792460800,1995/02/11,Liga MX,2021/2022,Midfielder,Puebla,14,14,0,Ghana,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,-1,-1,-1,22
Cristian Battocchio,30,697680000,1992/02/10,Liga MX,2021/2022,Midfielder,Pumas UNAM,733,309,424,Italy,18,9,9,0,0,0,1,1,0,0,0,5,3,2,11,6,5,0,0,0.12,0.12,0,0,0,0,1.35,67,41,0,733,0,357,95,-1,24
Cristian Jiménez,19,1026950400,2002/07/18,Liga MX,2021/2022,Midfielder,Cruz Azul,0,0,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cristian Mares,17,1094947200,2004/09/12,Liga MX,2021/2022,Forward,Puebla,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cristian Yonathan Calderón Del Real,24,864432000,1997/05/24,Liga MX,2021/2022,Defender,Guadalajara,1415,880,535,Mexico,27,14,13,4,2,2,2,2,0,0,0,9,3,6,22,18,4,5,1,0.38,0.13,0.25,0.2,0.34,354,1.4,64,52,283,708,0.32,68,89,127,5
Cristopher Santiago Benítez,17,1105833600,2005/01/16,Liga MX,2021/2022,Midfielder,Cruz Azul,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Damián Batallini,25,835574400,1996/06/24,Liga MX,2021/2022,Midfielder,Atlético San Luis,212,199,13,Argentina,4,3,1,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,2.97,30,53,0,0,0,-1,-1,-1,17
Daniel Aguilar Muñoz,24,887587200,1998/02/16,Liga MX,2021/2022,Midfielder,Puebla,357,161,196,Mexico,7,3,4,0,0,0,0,0,0,0,0,0,0,0,5,1,4,1,0,0,0,0,0,0,0,1.26,71,51,357,0,0.25,291,421,-1,23
Daniel Alexis Parra Durán,22,932428800,1999/07/20,Liga MX,2021/2022,Defender,Monterrey,388,233,155,Mexico,5,3,2,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0.7,129,78,0,0,0,414,413,8,30
Daniel Alonso Aceves Patiño,21,985737600,2001/03/28,Liga MX,2021/2022,Defender,Pachuca,1754,900,854,Mexico,20,10,10,0,0,0,0,0,0,0,0,8,5,3,15,6,9,3,0,0,0,0,0,0,0,0.77,117,88,585,0,0.15,289,272,21,17
Daniel Álvarez López,27,774835200,1994/07/22,Liga MX,2021/2022,Forward,Toluca,1395,823,572,Mexico,30,16,14,2,2,0,2,1,1,0,0,6,2,4,20,10,10,1,0,0.26,0.13,0.13,0.22,0,698,1.29,70,47,1395,698,0.06,128,93,-1,10
Daniel Ángel Cervantes Fraire,31,646531200,1990/06/28,Liga MX,2021/2022,Defender,Querétaro,1143,638,505,Mexico,16,8,8,0,0,0,0,0,0,0,0,4,3,1,15,8,7,1,0,0,0,0,0,0,0,1.18,76,71,1143,0,0.08,274,262,95,15
Daniel Guadalupe Amador Osuna,25,858988800,1997/03/22,Liga MX,2021/2022,Midfielder,Mazatlán,387,273,114,Mexico,9,5,4,1,1,0,1,1,0,0,0,1,1,0,4,2,2,1,0,0.47,0.23,0.23,0.33,0,387,0.93,97,43,387,387,0.23,76,29,-1,16
Daniel Lajud Martínez,23,916963200,1999/01/22,Liga MX,2021/2022,Forward,Monterrey,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Dario Lezcano,31,646704000,1990/06/30,Liga MX,2021/2022,Forward,Juárez,387,205,182,Paraguay,7,4,3,0,0,0,0,0,0,0,1,0,0,0,6,3,3,0,0,0,0,0,0,0,0,1.4,65,55,0,0,0,265,237,-1,13
David Alfredo Andrade Gómez,28,742176000,1993/07/09,Liga MX,2021/2022,Midfielder,Santos Laguna,676,440,236,Mexico,15,9,6,0,0,0,1,1,0,0,0,3,2,1,11,8,3,2,0,0.13,0.13,0,0,0,0,1.46,61,45,338,676,0.27,354,92,-1,20
David Cabrera Pujol,32,621129600,1989/09/07,Liga MX,2021/2022,Midfielder,Querétaro,751,445,306,Mexico,22,12,10,0,0,0,0,0,0,0,0,6,5,1,7,4,3,1,0,0,0,0,0,0,0,0.84,107,34,751,0,0.12,328,323,-1,35
David Matías Barbona,27,793411200,1995/02/22,Liga MX,2021/2022,Midfielder,Tijuana,1074,605,469,Argentina,23,12,11,0,0,0,2,1,1,0,1,6,5,1,16,7,9,2,0,0.17,0.17,0,0,0,0,1.34,67,47,537,537,0.17,365,52,-1,22
David René Ayala Hernández,21,960076800,2000/06/04,Liga MX,2021/2022,Forward,Tigres UANL,257,125,132,Mexico,11,5,6,0,0,0,0,0,0,0,0,4,2,2,5,2,3,0,0,0,0,0,0,0,0,1.75,51,23,0,0,0,-1,-1,-1,19
David Rodriguez,20,1020556800,2002/05/05,Liga MX,2021/2022,Midfielder,Atlético San Luis,210,109,101,USA,5,2,3,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,0,0,0,0,0,0,1.29,70,42,0,0,0,-1,-1,-1,20
Deivoon Magaña,22,948326400,2000/01/20,Liga MX,2021/2022,Midfielder,Guadalajara,22,22,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,-1,-1,-1,24
Denzell Arturo García Bojorquez,18,1060905600,2003/08/15,Liga MX,2021/2022,Midfielder,Juárez,13,0,13,Mexico,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,39
Diego Abitia,19,1050451200,2003/04/16,Liga MX,2021/2022,Forward,Toluca,0,0,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Diego Alejandro Rolan Silva,29,732931200,1993/03/24,Liga MX,2021/2022,Forward,Juárez,1206,619,587,Uruguay,16,8,8,4,4,0,0,0,0,1,1,4,2,2,13,6,7,0,0,0.3,0,0.3,0.58,0,302,0.97,93,75,0,0,0,53,276,-1,2
Diego Alfonso Valdés Contreras,28,759888000,1994/01/30,Liga MX,2021/2022,Midfielder,América,2968,1538,1430,Chile,37,19,18,13,6,7,10,6,4,2,0,15,9,6,27,10,17,5,1,0.7,0.3,0.39,0.35,0.44,228,0.82,110,80,495,297,0.18,25,10,-1,1
Diego Antonio Reyes Rosales,29,716860800,1992/09/19,Liga MX,2021/2022,Defender,Tigres UANL,2314,1024,1290,Mexico,29,13,16,1,0,1,0,0,0,0,0,11,7,4,22,6,16,6,0,0.04,0,0.04,0,0.07,2314,0.86,105,80,386,0,0.23,219,355,35,10
Diego Armando Barbosa Zaragoza,25,843609600,1996/09/25,Liga MX,2021/2022,Defender,Atlas,2532,1280,1252,Mexico,32,17,15,3,1,2,2,1,1,0,0,16,9,7,18,9,9,4,0,0.18,0.07,0.11,0.07,0.14,844,0.64,141,79,633,1266,0.14,141,156,6,6
Diego Chávez Collins,26,800150400,1995/05/11,Liga MX,2021/2022,Defender,Toluca,434,175,259,Mexico,11,6,5,2,1,1,0,0,0,0,0,1,1,0,5,1,4,3,0,0.41,0,0.41,0.51,0.35,217,1.04,87,39,145,0,0.62,21,277,73,11
Diego Eduardo De Buen Juárez,30,678499200,1991/07/03,Liga MX,2021/2022,Midfielder,Puebla,2476,1579,897,Mexico,36,20,16,3,3,0,0,0,0,1,1,9,4,5,30,18,12,8,0,0.11,0,0.11,0.17,0,825,1.09,83,69,310,0,0.29,146,356,-1,6
Diego Fernando Reyes Victoria,18,1060560000,2003/08/11,Liga MX,2021/2022,Goalkeeper,Puebla,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Diego Gómez,18,1063152000,2003/09/10,Liga MX,2021/2022,Midfielder,Necaxa,44,44,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.05,44,44,0,0,0,-1,-1,-1,17
Diego Javier Medina Vázquez,21,984355200,2001/03/12,Liga MX,2021/2022,Midfielder,Santos Laguna,316,97,219,Mexico,11,5,6,1,0,1,1,1,0,0,0,1,1,0,6,3,3,1,0,0.57,0.28,0.28,0,0.41,316,1.71,53,29,316,316,0.28,61,14,-1,14
Diego Luna León,20,997142400,2001/08/07,Liga MX,2021/2022,Defender,León,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Diego Rigonato Rodrigues,34,573868800,1988/03/09,Liga MX,2021/2022,Midfielder,Toluca,1084,673,411,Brazil,21,10,11,2,1,1,1,1,0,0,0,3,0,3,19,14,5,5,1,0.25,0.08,0.17,0.13,0.22,542,1.58,57,52,181,1084,0.5,107,148,-1,6
Diego Urtiaga,23,907891200,1998/10/09,Liga MX,2021/2022,Goalkeeper,Atlético San Luis,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Diego Zago Gavito,20,1019606400,2002/04/24,Liga MX,2021/2022,Midfielder,Puebla,128,65,63,Mexico,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1.41,64,43,0,0,0,-1,-1,-1,26
Diego Zavala,19,1028332800,2002/08/03,Liga MX,2021/2022,Forward,Toluca,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Dieter Daniel Villalpando Pérez,30,681264000,1991/08/04,Liga MX,2021/2022,Midfielder,Necaxa,1307,678,629,Mexico,20,11,9,1,1,0,3,0,3,0,0,5,3,2,12,6,6,2,0,0.28,0.21,0.07,0.13,0,1307,0.83,109,65,654,436,0.14,186,32,-1,8
Dilan Dávila,17,1086220800,2004/06/03,Liga MX,2021/2022,Midfielder,Toluca,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Diogo de Oliveira Barbosa,25,849657600,1996/12/04,Liga MX,2021/2022,Forward,Pumas UNAM,1443,753,690,Brazil,28,14,14,6,4,2,3,2,1,0,0,9,6,3,16,5,11,8,1,0.56,0.19,0.37,0.48,0.26,241,1,90,52,180,481,0.5,34,41,-1,4
Dória,27,784252800,1994/11/08,Liga MX,2021/2022,Defender,Santos Laguna,3060,1530,1530,Brazil,34,17,17,2,1,1,0,0,0,0,0,7,4,3,37,19,18,9,1,0.06,0,0.06,0.06,0.06,1530,1.09,83,90,306,0,0.29,201,343,81,9
Duván Andrés Vergara Hernández,25,842227200,1996/09/09,Liga MX,2021/2022,Forward,Monterrey,1030,538,492,Colombia,22,11,11,5,2,3,1,0,1,0,0,8,6,2,7,2,5,3,0,0.52,0.09,0.44,0.33,0.55,206,0.61,147,47,343,1030,0.26,17,131,-1,4
Edder Ricardo Martínez Bahena,21,959040000,2000/05/23,Liga MX,2021/2022,Goalkeeper,Querétaro,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Edgar Adolfo Hernández Tellez,39,399254400,1982/08/27,Liga MX,2021/2022,Goalkeeper,Necaxa,679,360,319,Mexico,10,4,6,0,0,0,0,0,0,0,0,2,0,2,14,10,4,1,0,0,0,0,0,0,0,1.86,49,68,679,0,0.13,337,332,150,22
Edgar Emmanuel Gutiérrez Alatorre,19,1023494400,2002/06/08,Liga MX,2021/2022,Forward,Cruz Azul,13,13,0,Mexico,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,21
Édgar Felipe Pardo Castro,31,650851200,1990/08/17,Liga MX,2021/2022,Forward,Toluca,87,24,63,Colombia,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1.03,87,29,87,0,1.03,-1,-1,-1,25
Edgar Games González,21,982627200,2001/02/20,Liga MX,2021/2022,Midfielder,Santos Laguna,121,22,99,Mexico,6,4,2,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,-1,-1,-1,19
Edgar Iván López Rodríguez,23,924652800,1999/04/21,Liga MX,2021/2022,Forward,Tijuana,277,114,163,Colombia,13,6,7,0,0,0,0,0,0,0,0,1,1,0,8,1,7,1,0,0,0,0,0,0,0,2.6,35,21,277,0,0.32,364,366,-1,24
Edgar Josué Martínez Huerta,20,1017273600,2002/03/28,Liga MX,2021/2022,Midfielder,Monterrey,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Edgar Zaldivar Valverde,25,845510400,1996/10/17,Liga MX,2021/2022,Midfielder,Atlas,1945,879,1066,Mexico,42,21,21,1,0,1,3,1,2,0,0,18,9,9,20,7,13,9,0,0.19,0.14,0.05,0,0.08,1945,0.93,97,46,216,648,0.42,216,77,-1,12
Edmundo Iván Vázquez Mellado Pérez,39,408672000,1982/12/14,Liga MX,2021/2022,Goalkeeper,León,180,90,90,Mexico,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1.5,60,90,0,0,0,-1,-1,-1,13
Edson Antonio Gutiérrez Moreno,26,822009600,1996/01/19,Liga MX,2021/2022,Midfielder,Monterrey,278,160,118,Mexico,9,5,4,0,0,0,0,0,0,0,0,2,2,0,1,0,1,3,1,0,0,0,0,0,0,0.32,278,31,93,0,0.97,417,409,-1,27
Eduar Ayrton Preciado Garcia,27,774403200,1994/07/17,Liga MX,2021/2022,Midfielder,Santos Laguna,681,401,280,Ecuador,12,6,6,4,1,3,1,0,1,0,0,3,2,1,8,3,5,4,0,0.66,0.13,0.53,0.22,0.96,170,1.06,85,57,170,681,0.53,7,88,-1,5
Eduard Alexander Bello Gil,26,808876800,1995/08/20,Liga MX,2021/2022,Midfielder,Mazatlán,643,245,398,Venezuela,11,6,5,1,1,0,1,1,0,0,0,3,2,1,11,4,7,0,0,0.28,0.14,0.14,0.37,0,643,1.54,58,58,0,643,0,124,74,-1,11
Eduardo Alonso Armenta Palma,20,1008460800,2001/12/16,Liga MX,2021/2022,Midfielder,Tijuana,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Eduardo Daniel Aguirre Lara,23,902102400,1998/08/03,Liga MX,2021/2022,Forward,Santos Laguna,2055,1021,1034,Mexico,30,15,15,5,3,2,2,1,1,0,0,7,5,2,24,13,11,4,0,0.31,0.09,0.22,0.26,0.17,411,1.05,86,69,514,1028,0.18,82,133,-1,3
Eduardo García Barrón,21,980640000,2001/01/28,Liga MX,2021/2022,Defender,Toluca,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Eduardo Mustre,19,1043107200,2003/01/21,Liga MX,2021/2022,Forward,Pachuca,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Eduardo Santiago Tercero Méndez,26,831340800,1996/05/06,Liga MX,2021/2022,Defender,Tijuana,1996,892,1104,Mexico,26,12,14,0,0,0,0,0,0,0,0,6,4,2,30,10,20,4,0,0,0,0,0,0,0,1.35,67,77,499,0,0.18,359,360,120,29
